ID Ticket GENERGY ;ID Ticket OCEANE;App;Description;Acteur;Périmètre ;Statut;Priorité;Actions réalisés;Date d'ouverture;Date de résolution;Durée de résolution;ID Jira
;2604Z73209;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF06_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF06_WARN'. 1 <= 1.00 <= 2147483646] ;Akram Sahli ;Support VIO;Résolu;P3;Commande désormais débloquée;16/04/2026;16/04/2026;✅ Résolu en < 1 jour;
;2604Z79972;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF06_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF06_WARN'. 1 <= 1.00 <= 2147483646] ;Akram Sahli ;Support VIO;Résolu;P3;Commande désormais débloquée;16/04/2026;16/04/2026;✅ Résolu en < 1 jour;
;2604Z93516;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_FILES / Exists / idWAS_LOG_Log_reemission_fichiers_MOP_log ] : [Alarm #1 of global parameter 'Exists' triggered on 'SW_FILES.idWAS_LOG_Log_reemission_fichiers_MOP_log'. 0 <= 0.00 <= 0] ;Akram Sahli ;Support VIO;Résolu;P3;L’envoi des fichiers a bien été effectué.;17/04/2026;20/04/2026;✅ Résolu en 1 jour;
;2604Z97121;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF07_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF07_WARN'. 1 <= 1.00 <= 2147483646] ;Mariem Hammami;Support VIO;Résolu;P3;fichier rejoué;17/04/2026;20/04/2026;✅ Résolu en 1 jour;
;2604Y39518;Vigie;DESCRIPTION : [P4] : [VIGIE_VI] / [SMC4, BRONZE, SOX] / [OBV_CFT_TRANSFERT / MatchingLine / failed ] : [CFT : transfert(s) en erreur : Part=OP73RCFT DTSA= IDF=VIG73R1 IDT=D1301024 Diags= - Historique Observabilite It];Mariem Hammami;Support VIO;Résolu;P4;"
Dans le cadre de l’analyse des échecs de transfert CFT (DIAG 405), nous avons réalisé des tests de connectivité depuis notre serveur vers le partenaire.

Résultats des tests :

    Résolution DNS : OK
    Test de connexion au port 1761 :";13/04/2026;20/04/2026;✅ Résolu en 5 jours;
;2604B09381;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_FILES / Exists / idWAS_LOG_Log_reemission_fichiers_MOP_log ] : [Alarm #1 of global parameter 'Exists' triggered on 'SW_FILES.idWAS_LOG_Log_reemission_fichiers_MOP_log'. 0 <= 0.00 <= 0] ;Akram Sahli ;Support VIO;Résolu;P3;fichier rejoué;21/04/2026;21/04/2026;✅ Résolu en < 1 jour;
;2604B23810;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF06_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF06_WARN'. 1 <= 1.00 <= 2147483646] ;Akram Sahli ;Support VIO;Résolu;P3;Commande désormais débloquée;21/04/2026;21/04/2026 00:00;✅ Résolu en < 1 jour;
;2604C53702;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_FILES / Exists / idWAS_LOG_Log_reemission_fichiers_MOP_log ] : [Alarm #1 of global parameter 'Exists' triggered on 'SW_FILES.idWAS_LOG_Log_reemission_fichiers_MOP_log'. 0 <= 0.00 <= 0] ;Akram Sahli ;Support VIO;Résolu;P3;Fichier rejoué;25/04/2026;27/04/2026;✅ Résolu en < 1 jour;
;2604D35071;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_FILES / Exists / idWAS_LOG_Log_reemission_fichiers_MOP_log ] : [Alarm #1 of global parameter 'Exists' triggered on 'SW_FILES.idWAS_LOG_Log_reemission_fichiers_MOP_log'. 0 <= 0.00 <= 0] ;Akram Sahli ;Support VIO;Résolu;P3;Fichier rejoué;28/04/2026;28/04/2026;✅ Résolu en < 1 jour;
;2604C01770;Sagic;"La fonctionnalité prise de commande en masse dysfonctionne depuis ce jour. 
Je parviens à sélectionner un fichier. Mais une fois après avoir validé au lieu que SAGIC traite mon fichier, un message d'erreur apparait après un long moment d'attente. LE voici en pièce jointe.";Mariem Hammami;Support VIO;Résolu;P3;us créée pour correction;28/04/2026;28/04/2026;✅ Résolu en < 1 jour;VIO-4539
